"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G55000109501001","550019501001","46","3"
"G55000109501002","550019501002","49","4"
"G55000109501003","550019501003","52","4"
"G55000109501004","550019501004","48","4"
"G55000109502011","550019502011","68","7"
"G55000109502012","550019502012","68","7"
"G55000109502031","550019502031","91","10"
"G55000109502032","550019502032","74","8"
"G55000109502041","550019502041","84","9"
"G55000109502042","550019502042","86","9"
"G55000109504001","550019504001","71","7"
"G55000109504002","550019504002","82","9"
"G55000109504003","550019504003","92","10"
"G55000109504004","550019504004","85","9"
"G55000109505011","550019505011","80","9"
"G55000109505012","550019505012","93","10"
"G55000109505021","550019505021","GQ","GQ"
"G55000109505022","550019505022","82","9"
"G55000109505023","550019505023","86","9"
"G55000109505024","550019505024","80","9"
"G55000109507001","550019507001","70","7"
"G55000109507002","550019507002","63","6"
"G55000109507003","550019507003","55","5"
"G55000309400001","550039400001","71","7"
"G55000309503001","550039503001","78","8"
"G55000309503002","550039503002","83","9"
"G55000309504001","550039504001","56","5"
"G55000309504002","550039504002","82","9"
"G55000309504003","550039504003","95","10"
"G55000309505001","550039505001","60","5"
"G55000309505002","550039505002","79","8"
"G55000309506001","550039506001","84","9"
"G55000309506002","550039506002","87","9"
"G55000309507001","550039507001","88","10"
"G55000309507002","550039507002","64","6"
"G55000309507003","550039507003","81","9"
"G55000309508001","550039508001","52","4"
"G55000309508002","550039508002","89","10"
"G55000309508003","550039508003","79","8"
"G55000309508004","550039508004","90","10"
"G55000309900000","550039900000","PH","PH"
"G55000500001001","550050001001","52","4"
"G55000500001002","550050001002","62","6"
"G55000500001003","550050001003","58","5"
"G55000500001004","550050001004","52","4"
"G55000500002001","550050002001","55","5"
"G55000500002002","550050002002","70","7"
"G55000500002003","550050002003","69","7"
"G55000500003001","550050003001","65","6"
"G55000500003002","550050003002","82","9"
"G55000500003003","550050003003","65","6"
"G55000500003004","550050003004","65","6"
"G55000500004001","550050004001","62","6"
"G55000500004002","550050004002","86","9"
"G55000500004003","550050004003","71","7"
"G55000500004004","550050004004","82","9"
"G55000500004005","550050004005","80","9"
"G55000500005001","550050005001","87","9"
"G55000500005002","550050005002","60","5"
"G55000500005003","550050005003","78","8"
"G55000500005004","550050005004","91","10"
"G55000500006011","550050006011","66","6"
"G55000500006012","550050006012","71","7"
"G55000500006021","550050006021","69","7"
"G55000500006022","550050006022","68","7"
"G55000500006023","550050006023","69","7"
"G55000500006024","550050006024","72","7"
"G55000500008001","550050008001","59","5"
"G55000500008002","550050008002","47","3"
"G55000500008003","550050008003","66","6"
"G55000500008004","550050008004","66","6"
"G55000500009001","550050009001","69","7"
"G55000500009002","550050009002","63","6"
"G55000500009003","550050009003","59","5"
"G55000500009004","550050009004","75","8"
"G55000500009005","550050009005","64","6"
"G55000500010011","550050010011","53","4"
"G55000500010012","550050010012","57","5"
"G55000500010031","550050010031","72","7"
"G55000500010032","550050010032","64","6"
"G55000500010041","550050010041","62","6"
"G55000500010042","550050010042","52","4"
"G55000500010043","550050010043","77","8"
"G55000500010044","550050010044","73","8"
"G55000709601001","550079601001","47","3"
"G55000709601002","550079601002","52","4"
"G55000709601003","550079601003","87","9"
"G55000709602001","550079602001","50","4"
"G55000709602002","550079602002","56","5"
"G55000709603001","550079603001","80","9"
"G55000709603002","550079603002","58","5"
"G55000709603003","550079603003","54","4"
"G55000709604011","550079604011","56","5"
"G55000709604021","550079604021","58","5"
"G55000709604022","550079604022","68","7"
"G55000709604023","550079604023","74","8"
"G55000709606001","550079606001","52","4"
"G55000709606002","550079606002","44","3"
"G55000709900000","550079900000","PH","PH"
"G55000900001001","550090001001","85","9"
"G55000900001002","550090001002","84","9"
"G55000900002001","550090002001","83","9"
"G55000900002002","550090002002","82","9"
"G55000900002003","550090002003","82","9"
"G55000900002004","550090002004","79","9"
"G55000900002005","550090002005","81","9"
"G55000900002006","550090002006","76","8"
"G55000900003021","550090003021","83","9"
"G55000900003022","550090003022","80","9"
"G55000900003023","550090003023","72","7"
"G55000900003031","550090003031","65","6"
"G55000900003032","550090003032","89","10"
"G55000900004011","550090004011","72","7"
"G55000900004012","550090004012","81","9"
"G55000900004013","550090004013","82","9"
"G55000900004014","550090004014","76","8"
"G55000900004021","550090004021","66","6"
"G55000900004022","550090004022","66","6"
"G55000900004023","550090004023","58","5"
"G55000900005001","550090005001","79","9"
"G55000900005002","550090005002","83","9"
"G55000900005003","550090005003","90","10"
"G55000900006001","550090006001","73","8"
"G55000900006002","550090006002","76","8"
"G55000900006003","550090006003","74","8"
"G55000900006004","550090006004","64","6"
"G55000900006005","550090006005","66","6"
"G55000900007001","550090007001","82","9"
"G55000900007002","550090007002","87","9"
"G55000900007003","550090007003","81","9"
"G55000900007004","550090007004","77","8"
"G55000900008001","550090008001","92","10"
"G55000900008002","550090008002","89","10"
"G55000900009001","550090009001","92","10"
"G55000900009002","550090009002","92","10"
"G55000900009003","550090009003","92","10"
"G55000900009004","550090009004","92","10"
"G55000900009005","550090009005","92","10"
"G55000900010001","550090010001","58","5"
"G55000900011001","550090011001","90","10"
"G55000900012001","550090012001","87","9"
"G55000900012002","550090012002","83","9"
"G55000900013001","550090013001","85","9"
"G55000900013002","550090013002","61","6"
"G55000900013003","550090013003","67","7"
"G55000900013004","550090013004","45","3"
"G55000900014001","550090014001","84","9"
"G55000900014002","550090014002","78","8"
"G55000900014003","550090014003","78","8"
"G55000900014004","550090014004","87","9"
"G55000900014005","550090014005","79","9"
"G55000900016001","550090016001","80","9"
"G55000900016002","550090016002","80","9"
"G55000900016003","550090016003","73","8"
"G55000900016004","550090016004","83","9"
"G55000900017011","550090017011","82","9"
"G55000900017012","550090017012","85","9"
"G55000900017021","550090017021","87","9"
"G55000900017022","550090017022","89","10"
"G55000900017023","550090017023","88","10"
"G55000900018011","550090018011","44","3"
"G55000900018012","550090018012","66","6"
"G55000900018013","550090018013","GQ","GQ"
"G55000900018014","550090018014","60","5"
"G55000900018021","550090018021","GQ","GQ"
"G55000900018022","550090018022","52","4"
"G55000900018023","550090018023","32","2"
"G55000900020011","550090020011","77","8"
"G55000900020012","550090020012","66","6"
"G55000900020013","550090020013","71","7"
"G55000900020014","550090020014","57","5"
"G55000900020015","550090020015","52","4"
"G55000900020016","550090020016","52","4"
"G55000900020017","550090020017","49","4"
"G55000900020021","550090020021","54","4"
"G55000900020022","550090020022","57","5"
"G55000900020031","550090020031","61","6"
"G55000900020032","550090020032","45","3"
"G55000900101001","550090101001","43","3"
"G55000900101002","550090101002","47","3"
"G55000900101003","550090101003","61","6"
"G55000900101004","550090101004","43","3"
"G55000900102011","550090102011","75","8"
"G55000900102012","550090102012","GQ","GQ"
"G55000900102013","550090102013","64","6"
"G55000900102021","550090102021","65","6"
"G55000900102022","550090102022","48","4"
"G55000900102023","550090102023","59","5"
"G55000900103001","550090103001","61","6"
"G55000900103002","550090103002","60","5"
"G55000900103003","550090103003","44","3"
"G55000900103004","550090103004","66","6"
"G55000900201001","550090201001","45","3"
"G55000900201002","550090201002","52","4"
"G55000900201003","550090201003","40","2"
"G55000900201004","550090201004","37","2"
"G55000900202031","550090202031","36","2"
"G55000900202032","550090202032","37","2"
"G55000900202033","550090202033","36","2"
"G55000900202041","550090202041","32","2"
"G55000900202042","550090202042","34","2"
"G55000900202043","550090202043","31","1"
"G55000900205021","550090205021","71","7"
"G55000900205022","550090205022","63","6"
"G55000900205023","550090205023","61","6"
"G55000900205024","550090205024","52","4"
"G55000900205041","550090205041","35","2"
"G55000900205042","550090205042","33","2"
"G55000900205043","550090205043","30","1"
"G55000900205051","550090205051","52","4"
"G55000900205052","550090205052","60","5"
"G55000900205053","550090205053","50","4"
"G55000900205061","550090205061","46","3"
"G55000900206001","550090206001","42","3"
"G55000900206002","550090206002","34","2"
"G55000900206003","550090206003","66","6"
"G55000900206004","550090206004","66","6"
"G55000900207021","550090207021","42","3"
"G55000900207022","550090207022","28","1"
"G55000900207023","550090207023","26","1"
"G55000900207031","550090207031","41","3"
"G55000900207032","550090207032","50","4"
"G55000900207033","550090207033","52","4"
"G55000900207034","550090207034","39","2"
"G55000900207041","550090207041","49","4"
"G55000900207042","550090207042","100","10"
"G55000900207043","550090207043","50","4"
"G55000900208001","550090208001","75","8"
"G55000900208002","550090208002","74","8"
"G55000900209001","550090209001","52","4"
"G55000900209002","550090209002","67","7"
"G55000900210001","550090210001","42","3"
"G55000900210002","550090210002","54","4"
"G55000900210003","550090210003","42","3"
"G55000900212001","550090212001","66","6"
"G55000900212002","550090212002","51","4"
"G55000900212003","550090212003","49","4"
"G55000900212004","550090212004","58","5"
"G55000900213011","550090213011","68","7"
"G55000900213012","550090213012","62","6"
"G55000900213013","550090213013","60","5"
"G55000900213021","550090213021","52","4"
"G55000900213022","550090213022","52","4"
"G55000900213023","550090213023","52","4"
"G55000900213031","550090213031","83","9"
"G55000900213032","550090213032","79","9"
"G55000900213033","550090213033","72","7"
"G55000900213034","550090213034","53","4"
"G55000900213041","550090213041","58","5"
"G55000900214001","550090214001","31","1"
"G55000900214002","550090214002","45","3"
"G55000900214003","550090214003","48","4"
"G55000900215001","550090215001","44","3"
"G55000900215002","550090215002","49","4"
"G55000900216001","550090216001","41","3"
"G55000900216002","550090216002","54","4"
"G55000900216003","550090216003","52","4"
"G55000900216004","550090216004","39","2"
"G55000909400021","550099400021","35","2"
"G55000909400022","550099400022","48","4"
"G55000909400031","550099400031","65","6"
"G55000909400032","550099400032","52","4"
"G55000909400041","550099400041","73","8"
"G55000909400042","550099400042","64","6"
"G55000909400043","550099400043","56","5"
"G55000909400051","550099400051","30","1"
"G55000909400052","550099400052","30","1"
"G55000909400053","550099400053","30","1"
"G55000909400054","550099400054","30","1"
"G55000909400061","550099400061","20","1"
"G55000909400062","550099400062","23","1"
"G55000909400071","550099400071","38","2"
"G55000909400081","550099400081","44","3"
"G55000909400082","550099400082","22","1"
"G55000909400083","550099400083","37","2"
"G55000909800001","550099800001","GQ-PH","GQ-PH"
"G55001109601001","550119601001","50","4"
"G55001109601002","550119601002","55","5"
"G55001109601003","550119601003","54","4"
"G55001109602001","550119602001","71","7"
"G55001109602002","550119602002","85","9"
"G55001109603001","550119603001","72","7"
"G55001109603002","550119603002","68","7"
"G55001109603003","550119603003","55","5"
"G55001109604001","550119604001","53","4"
"G55001109604002","550119604002","60","5"
"G55001109605001","550119605001","61","6"
"G55001109605002","550119605002","70","7"
"G55001109605003","550119605003","53","4"
"G55001309704001","550139704001","49","4"
"G55001309704002","550139704002","59","5"
"G55001309704003","550139704003","79","9"
"G55001309704004","550139704004","44","3"
"G55001309706001","550139706001","48","4"
"G55001309706002","550139706002","58","5"
"G55001309707001","550139707001","70","7"
"G55001309707002","550139707002","50","4"
"G55001309707003","550139707003","69","7"
"G55001309708001","550139708001","67","7"
"G55001309708002","550139708002","73","8"
"G55001309709001","550139709001","64","6"
"G55001309709002","550139709002","84","9"
"G55001309710001","550139710001","54","4"
"G55001309710002","550139710002","67","7"
"G55001500201001","550150201001","57","5"
"G55001500201002","550150201002","73","8"
"G55001500201003","550150201003","74","8"
"G55001500201004","550150201004","59","5"
"G55001500202001","550150202001","48","4"
"G55001500202002","550150202002","72","7"
"G55001500202003","550150202003","52","4"
"G55001500202004","550150202004","55","5"
"G55001500203031","550150203031","66","6"
"G55001500203032","550150203032","60","5"
"G55001500203033","550150203033","63","6"
"G55001500203041","550150203041","74","8"
"G55001500203042","550150203042","50","4"
"G55001500203043","550150203043","69","7"
"G55001500203061","550150203061","40","2"
"G55001500203062","550150203062","33","2"
"G55001500203063","550150203063","42","3"
"G55001500203064","550150203064","40","2"
"G55001500203081","550150203081","31","1"
"G55001500203082","550150203082","36","2"
"G55001500204001","550150204001","45","3"
"G55001500204002","550150204002","43","3"
"G55001500204003","550150204003","56","5"
"G55001500205001","550150205001","51","4"
"G55001500205002","550150205002","55","5"
"G55001500205003","550150205003","77","8"
"G55001500205004","550150205004","70","7"
"G55001500206001","550150206001","64","6"
"G55001500206002","550150206002","82","9"
"G55001500206003","550150206003","73","8"
"G55001500206004","550150206004","72","7"
"G55001500207001","550150207001","37","2"
"G55001500207002","550150207002","27","1"
"G55001500208001","550150208001","40","2"
"G55001500208002","550150208002","43","3"
"G55001500208003","550150208003","39","2"
"G55001700101001","550170101001","61","6"
"G55001700101002","550170101002","72","7"
"G55001700102001","550170102001","81","9"
"G55001700102002","550170102002","50","4"
"G55001700102003","550170102003","65","6"
"G55001700102004","550170102004","64","6"
"G55001700103001","550170103001","79","9"
"G55001700103002","550170103002","76","8"
"G55001700103003","550170103003","57","5"
"G55001700103004","550170103004","65","6"
"G55001700103005","550170103005","60","5"
"G55001700103006","550170103006","58","5"
"G55001700104001","550170104001","47","3"
"G55001700104002","550170104002","44","3"
"G55001700104003","550170104003","41","3"
"G55001700105001","550170105001","76","8"
"G55001700105002","550170105002","51","4"
"G55001700105003","550170105003","64","6"
"G55001700107001","550170107001","38","2"
"G55001700107002","550170107002","45","3"
"G55001700107003","550170107003","30","1"
"G55001700107004","550170107004","64","6"
"G55001700107005","550170107005","45","3"
"G55001700108001","550170108001","71","7"
"G55001700108002","550170108002","68","7"
"G55001700108003","550170108003","60","5"
"G55001700108004","550170108004","67","7"
"G55001700108005","550170108005","GQ","GQ"
"G55001700109001","550170109001","77","8"
"G55001700109002","550170109002","57","5"
"G55001700109003","550170109003","65","6"
"G55001700109004","550170109004","86","9"
"G55001700110011","550170110011","83","9"
"G55001700110012","550170110012","74","8"
"G55001700110013","550170110013","66","6"
"G55001700110021","550170110021","60","5"
"G55001700110022","550170110022","45","3"
"G55001700110023","550170110023","45","3"
"G55001700111001","550170111001","43","3"
"G55001700111002","550170111002","57","5"
"G55001700111003","550170111003","57","5"
"G55001700111004","550170111004","59","5"
"G55001700112001","550170112001","68","7"
"G55001700112002","550170112002","45","3"
"G55001700112003","550170112003","66","6"
"G55001700112004","550170112004","51","4"
"G55001700112005","550170112005","75","8"
"G55001909501001","550199501001","80","9"
"G55001909501002","550199501002","68","7"
"G55001909501003","550199501003","79","9"
"G55001909501004","550199501004","77","8"
"G55001909502001","550199502001","68","7"
"G55001909502002","550199502002","95","10"
"G55001909502003","550199502003","72","7"
"G55001909502004","550199502004","84","9"
"G55001909503001","550199503001","64","6"
"G55001909503002","550199503002","57","5"
"G55001909503003","550199503003","77","8"
"G55001909503004","550199503004","83","9"
"G55001909504001","550199504001","57","5"
"G55001909504002","550199504002","57","5"
"G55001909504003","550199504003","72","7"
"G55001909504004","550199504004","86","9"
"G55001909505001","550199505001","66","6"
"G55001909505002","550199505002","74","8"
"G55001909505003","550199505003","69","7"
"G55001909505004","550199505004","81","9"
"G55001909506001","550199506001","76","8"
"G55001909506002","550199506002","69","7"
"G55001909506003","550199506003","69","7"
"G55001909506004","550199506004","68","7"
"G55001909507001","550199507001","78","8"
"G55001909507002","550199507002","78","8"
"G55001909507003","550199507003","93","10"
"G55001909508001","550199508001","67","7"
"G55001909508002","550199508002","70","7"
"G55001909508003","550199508003","65","6"
"G55002109701001","550219701001","56","5"
"G55002109701002","550219701002","47","3"
"G55002109701003","550219701003","75","8"
"G55002109701004","550219701004","53","4"
"G55002109702001","550219702001","43","3"
"G55002109702002","550219702002","44","3"
"G55002109702003","550219702003","67","7"
"G55002109702004","550219702004","56","5"
"G55002109703001","550219703001","65","6"
"G55002109703002","550219703002","49","4"
"G55002109703003","550219703003","62","6"
"G55002109704011","550219704011","80","9"
"G55002109704021","550219704021","68","7"
"G55002109704022","550219704022","70","7"
"G55002109704023","550219704023","64","6"
"G55002109704024","550219704024","64","6"
"G55002109705001","550219705001","72","7"
"G55002109705002","550219705002","69","7"
"G55002109705003","550219705003","67","7"
"G55002109705004","550219705004","73","8"
"G55002109706001","550219706001","30","1"
"G55002109706002","550219706002","46","3"
"G55002109706003","550219706003","54","4"
"G55002109707001","550219707001","45","3"
"G55002109707002","550219707002","45","3"
"G55002109707003","550219707003","30","1"
"G55002109707004","550219707004","49","4"
"G55002109708001","550219708001","37","2"
"G55002109708002","550219708002","43","3"
"G55002109708003","550219708003","29","1"
